,NStage,RR,TopPres,StoF,y_predicted,DIST_C4H8,error,y_real,af_value,Mode,model_purity
22,69.0,4.913750590687349,3.500002934755985,2.9464365930877836,17483.89043416753,0.994998893,11.287665832471248,17495.1781,17450.383604081988,UCB,0.995000000918533
23,69.0,4.9138039580941495,3.500006635573265,2.946444258245247,17485.01107369854,0.994999049,10.309226301458693,17495.3203,17452.753030927965,UCB,0.995000023681589
24,69.0,4.915325335985661,3.500003902724197,2.9461616332594405,17485.95973566142,0.99499965,10.118664338577219,17496.0784,17454.865415876135,UCB,0.9950000366167993
25,69.0,4.915499680220141,3.5000013860560317,2.9461309133012032,17486.787935488323,0.9949997,9.368864511678112,17496.1568,17456.755477202085,UCB,0.995000004602691
26,69.0,4.9161603693238085,3.5000071099359116,2.946012523605859,17487.586482730483,0.99499976,8.8653172695158,17496.4518,17458.54506496759,UCB,0.9950000243568301
27,69.0,4.916413370261006,3.5000263905648437,2.945980351287851,17488.39235936652,0.994999883,8.278340633478365,17496.6707,17460.271439427674,UCB,0.9950000873915131
28,69.0,4.916830910201479,3.5000068540505964,2.9458929579427036,17488.91244945817,0.994999995,7.8116505418292945,17496.7241,17461.647879014978,UCB,0.9950000207193418
29,69.0,4.9170997278258515,3.5000077811902766,2.945844917956411,17489.485572701913,0.995000389,7.401027298088593,17496.8866,17463.024063822806,UCB,0.9950000217160594
30,69.0,4.917404289380896,3.500007343290205,2.945787436185377,17489.993282637664,0.995000176,7.01761736233675,17497.0109,17464.285808614884,UCB,0.995000023298654
31,69.0,4.917759165911881,3.5000096736894157,2.945722634740256,17490.479967397063,0.994999925,6.389032602935913,17496.869,17465.482774577187,UCB,0.9950000321216933
32,69.0,4.918205035180414,3.5000059600039095,2.9456374881785523,17490.8902749045,0.99499994,6.136025095500372,17497.0263,17466.56290584279,UCB,0.9950000167071738
33,69.0,4.9181353033508985,3.500005975875146,2.9456543169179294,17491.29718101757,0.994999967,5.722118982430402,17497.0193,17467.599184366594,UCB,0.9950000186176297
34,69.0,4.918406457924309,3.500008303143714,2.9456055463900648,17491.673010641254,0.994999997,5.467389358746004,17497.1404,17468.5736104832,UCB,0.9950000214166238
35,69.0,4.918219968766227,3.5000081502662646,2.9456440379144104,17492.017044432203,0.995000017,5.069455567798286,17497.0865,17469.481657865763,UCB,0.9950000220616249
36,69.0,4.918941957297513,3.500007584533548,2.9455075061516998,17492.325278260476,0.995000046,5.0342217395227635,17497.3595,17470.332052861402,UCB,0.9950000244704759
37,69.0,4.918546172944855,3.5000385329664114,2.945603686727715,17492.790816753248,0.995000179,4.595283246751933,17497.3861,17471.308650790786,UCB,0.995000130047468
38,69.0,4.918898282567749,3.500006589172693,2.945519014107122,17492.885047059033,0.995000072,4.4731529409655195,17497.3582,17471.888447020894,UCB,0.9950000198028304
39,69.0,4.9189015115149815,3.5000170195678155,2.9455212032107254,17493.161271712754,0.995000086,4.234428287247283,17497.3957,17472.629570445577,UCB,0.9950000164728777
40,69.0,4.918379279237974,3.500009816829356,2.945622192213798,17493.38446462658,0.995000091,3.810135373420053,17497.1946,17473.291667752357,UCB,0.9950000187958414
41,69.0,4.919104772342113,3.50001229717906,2.945486524497754,17493.611334472254,0.99500013,3.8719655277454876,17497.4833,17473.94727642485,UCB,0.9950000338497763
42,69.0,4.918779589069618,3.5000045737450796,2.945546268398374,17493.782232481513,0.99500011,3.5525675184871943,17497.3348,17474.52075312053,UCB,0.9950000123908977
43,69.0,4.919480224647209,3.500012806404806,2.945416702941374,17494.00226574859,0.995000154,3.6308342514093965,17497.6331,17475.13439545992,UCB,0.9950000317644927
44,69.0,4.918921316608892,3.5000059782914295,2.945524575662711,17494.17704392528,0.995000156,3.241656074718776,17497.4187,17475.67764733768,UCB,0.9950000380060778
45,69.0,4.919116034965647,3.5000065341768005,2.9454837286618285,17494.31219534515,0.99500013,3.1601046548530576,17497.4723,17476.171620526882,UCB,0.9950000019856979
46,69.0,4.918257304696671,3.500009334088702,2.945651798866008,17494.496663616002,0.995000141,2.685536383996805,17497.1822,17476.694742501062,UCB,0.9950000210075497
47,69.0,4.918757463070801,3.500008034871209,2.945557041739503,17494.632675970734,0.99500016,2.7359240292680624,17497.3686,17477.164393022318,UCB,0.9950000246799435
48,69.0,4.918652359907683,3.5000090816886993,2.9455776519960986,17494.76827915947,0.995000161,2.5664208405287354,17497.3347,17477.617595341584,UCB,0.9950000221786479
49,68.0,4.873987932034853,3.50000252701738,2.978227948448575,17567.088544501705,0.99460685,16.51735549829391,17583.6059,17522.072475300967,UCB,0.9950000512074519
50,71.0,5.157923407680812,3.50000215469682,2.8003963378886993,17170.071748715825,0.994860327,55.24124871582535,17114.8305,17067.632759146367,UCB,0.9950000176077517
